"[9.473684210526315, 0.0]","[-15.1664432192386, 19.7507983925322]","[-42.7482479293495, -2.18661331242527]","[-24.0, -4.9263157894736835]","[-35.7805416799401, -26.0754182875584]","[-17.0223833883619, -28.7464232653144]","[-10.5338974603410, -59.0059533765080]"
"[9.4734972081107713, 0.059524521778979531]","[-15.2036278963049, 19.7640776372020]","[-42.7523538602595, -2.21485957874261]","[-24.0, -4.9263157894736835]","[-35.7356639884438, -26.0893228556577]","[-16.9735008590759, -28.7320496274003]","[-10.4394105001094, -58.9817649214198]"
"[9.4729362082466775, 0.11904669363176154]","[-15.2410312933088, 19.7773713228968]","[-42.7564388227301, -2.24326290660192]","[-24.0, -4.9263157894736835]","[-35.6910116950974, -26.1033482589665]","[-16.9248653944342, -28.7176403438724]","[-10.3449429728763, -58.9574193297486]"
"[9.4720012330813468, 0.17856416572491954]","[-15.2786531825452, 19.7906783530260]","[-42.7605020721188, -2.27182297819531]","[-24.0, -4.9263157894736835]","[-35.6465843943983, -26.1174957259418]","[-16.8764773308792, -28.7031969668303]","[-10.2504961297415, -58.9329171989219]"
"[9.4706923195259982, 0.23807458841056559]","[-15.3164933320961, 19.8039976274477]","[-42.7645428618676, -2.30053947222287]","[-24.0, -4.9263157894736835]","[-35.6023816735026, -26.1317664786085]","[-16.8283369993606, -28.6887210453579]","[-10.1560712225928, -58.9082591224453]"
"[9.469009519254298, 0.29757561231911012]","[-15.3545515057426, 19.8173280425054]","[-42.7685604435414, -2.32941206383508]","[-24.0, -4.9263157894736835]","[-35.5584031123414, -26.1461617324474]","[-16.7804447254122, -28.6742141254693]","[-10.0616695042492, -58.8834456899404]"
"[9.4669528987003186, 0.3570648884520114]","[-15.3928274628754, 19.8306684910654]","[-42.7725540668671, -2.35844042457533]","[-24.0, -4.9263157894736835]","[-35.5146482837349, -26.1606826962854]","[-16.7328008292287, -28.6596777500546]","[-9.96729222859786, -58.8584774871824]"
"[9.4645225390559169, 0.41654006827450957]","[-15.4313209584078, 19.8440178625560]","[-42.7765229797740, -2.38762422232327]","[-24.0, -4.9263157894736835]","[-35.4711167535121, -26.1753305721860]","[-16.6854056257438, -28.6451134588268]","[-9.87294065074117, -58.8333550961385]"
"[9.4617185362675329, 0.47599880380834314]","[-15.4700317426875, 19.8573750430059]","[-42.7804664284337, -2.41696312123809]","[-24.0, -4.9263157894736835]","[-35.4278080806280, -26.1901065553413]","[-16.6382594247083, -28.6305227882686]","[-9.77861602713269, -58.8080790950086]"
"[9.458541001032394, 0.53543874772444278]","[-15.5089595614096, 19.8707389150858]","[-42.7843836573011, -2.44645678170291]","[-24.0, -4.9263157894736835]","[-35.3847218172831, -26.2050118339655]","[-16.5913625307696, -28.6159072715809]","[-9.68431961571909, -58.7826500582659]"
"[9.4549900587941504, 0.59485755343560032]","[-15.5481041555302, 19.8841083581487]","[-42.7882739091569, -2.47610486026891]","[-24.0, -4.9263157894736835]","[-35.3418575090465, -26.2200475891877]","[-16.5447152435511, -28.6012684386316]","[-9.59005267608170, -58.7570685567017]"
"[9.4510658497379225, 0.65425287518910735]","[-15.5874652611797, 19.8974822482730]","[-42.7921364251491, -2.50590700960038]","[-24.0, -4.9263157894736835]","[-35.2992146949752, -26.2352149949483]","[-16.4983178577321, -28.5866078159046]","[-9.49581646957398, -58.7313351574681]"
"[9.4467685287847623, 0.71362236815936253]","[-15.6270426095774, 19.9108594583048]","[-42.7959704448357, -2.53586287842012]","[-24.0, -4.9263157894736835]","[-35.2567929077397, -26.2505152178948]","[-16.4521706631296, -28.5719269264498]","[-9.40161225946184, -58.7054504241231]"
"[9.4420982655855461, 0.77296368854043984]","[-15.6668359269457, 19.9242388579029]","[-42.7997752062290, -2.56597211145513]","[-24.0, -4.9263157894736835]","[-35.2145916737478, -26.2659494172793]","[-16.4062739447789, -28.5572272898341]","[-9.30744131106242, -58.6794149166791]"
"[9.4370552445142657, 0.83227449363861938]","[-15.7068449344260, 19.9376193135835]","[-42.8035499458386, -2.59623434938303]","[-24.0, -4.9263157894736835]","[-35.1726105132699, -26.2815187448568]","[-16.3606279830160, -28.5425104220925]","[-9.21330489188194, -58.6532291916488]"
"[9.4316396646607572, 0.89155244196487238]","[-15.7470693479934, 19.9509996887660]","[-42.8072938987172, -2.62664922877873]","[-24.0, -4.9263157894736835]","[-35.1308489405670, -26.2972243447849]","[-16.3152330535608, -28.5277778356803]","[-9.11920427175527, -58.6268938020967]"
"[9.4258517398228427, 0.95079519332729889]","[-15.7875088783734, 19.9643788438204]","[-42.8110062985048, -2.65721638206172]","[-24.0, -4.9263157894736835]","[-35.0893064640177, -26.3130673535252]","[-16.2700894275993, -28.5130310394253]","[-9.02514072298083, -58.6004092976886]"
"[9.4196916984978838, 1.0100004089235148]","[-15.8281632309581, 19.9777556361151]","[-42.8146863774752, -2.68793543744367]","[-24.0, -4.9263157894736835]","[-35.0479825862488, -26.3290488997441]","[-16.2251973718688, -28.4982715384822]","[-8.93111552046185, -58.5737762247437]"
"[9.4131597838737626, 1.0691657514329842]","[-15.8690321057236, 19.9911289200654]","[-42.8183333665823, -2.71880601887676]","[-24.0, -4.9263157894736835]","[-35.0068768042647, -26.3451701042165]","[-16.1805571487411, -28.4835008342855]","[-8.83712994183939, -58.5469951262885]"
